ell1,ell2,abs_dot
9,12,0.2166078827843741
9,13,0.756924135796049
9,14,0.09633567274273777
9,15,0.1291606492887838
9,16,0.40887089154407413
9,17,0.7152594800732779
9,18,0.920582786816356
9,19,0.7225261254472314
9,20,0.3145910471056791
9,21,0.2525551706640071
9,22,0.6196138936791274
9,23,0.5736041077675095
9,24,0.2513276630521416
9,25,0.17274186735722483
9,26,0.11620276232465568
9,27,0.0880315096313313
9,28,0.14913136009449424
9,29,0.1613694736441259
9,30,0.10282575399399868
10,11,0.6439346334141917
10,12,0.2584585322187529
10,13,0.6909383963771218
10,14,0.04759935879170824
10,15,0.15776725269538394
10,16,0.33016057450862746
10,17,0.770626887029863
10,18,0.9482310320335035
10,19,0.6107077962378088
10,20,0.1684349623766451
10,21,0.16486440954185963
10,22,0.6321438525488925
10,23,0.442529210845945
10,24,0.10265692619168587
10,25,0.1965834444366591
10,26,0.13112521369434066
10,27,0.06547013350576049
10,28,0.24869227260714713
10,29,0.08076735858272543
10,30,0.03672007019998502
11,12,0.48228315137748523
11,13,0.9977845727073876
11,14,0.29015034275363827
11,15,0.5429374848315309
11,16,0.9261937818638628
11,17,0.026019450183642982
11,18,0.7165714494989641
11,19,0.8757266037388605
11,20,0.5453009022681445
11,21,0.8547220084134183
11,22,0.8151135208716888
11,23,0.7470117805694552
11,24,0.6615152576727442
11,25,0.5853624530826469
11,26,0.5060598883519248
11,27,0.6665406932564281
11,28,0.5799401389527256
11,29,0.12538800984566364
11,30,0.24214025750611495
12,13,0.44360971399899973
12,14,0.051817405323066446
12,15,0.8193290145085104
12,16,0.7726833100464484
12,17,0.7983087950962999
12,18,0.004650568881825787
12,19,0.1551740208504197
12,20,0.06866638594116808
12,21,0.8446848601850638
12,22,0.5490214843469089
12,23,0.09084767433312091
12,24,0.34656395095538617
12,25,0.816710447700945
12,26,0.9763090842674987
12,27,0.9408347807441496
12,28,0.9073105485216186
12,29,0.6661892432380034
12,30,0.1296731265263078
13,14,0.251554684475203
13,15,0.5422656587412437
13,16,0.9050835499076503
13,17,0.0848856268334428
13,18,0.7611104957867997
13,19,0.8678559952709963
13,20,0.5125304036437994
13,21,0.8234828132539782
13,22,0.8336870207049616
13,23,0.7286034438071275
13,24,0.6206189492406354
13,25,0.5850215730176279
13,26,0.4798628794976394
13,27,0.646721555923078
13,28,0.5281910365186059
13,29,0.13158859938133202
13,30,0.20648668790646768
14,15,0.49223174414324045
14,16,0.24379972961852814
14,17,0.14157786995002183
14,18,0.24614751359616382
14,19,0.669534651696083
14,20,0.9598489195346878
14,21,0.28938812350279824
14,22,0.31603498216559767
14,23,0.8331511113359126
14,24,0.8830920843372804
14,25,0.46121402671510603
14,26,0.2342094630276891
14,27,0.1814817500956851
14,28,0.3727134146399565
14,29,0.777777874347278
14,30,0.9968932722805496
15,16,0.7064408993937612
15,17,0.36804073447330593
15,18,0.4585465914688555
15,19,0.07629348404305603
15,20,0.2880324324891159
15,21,0.6903240193806198
15,22,0.8578850435795908
15,23,0.1130933261193533
15,24,0.03139887368421451
15,25,0.9986565248430163
15,26,0.9231988361199379
15,27,0.9412971165785634
15,28,0.5583179189061046
15,29,0.8979401052303466
15,30,0.5563626734638506
16,17,0.3432628951274389
